condition,eta,delta,metadata_path,case,episode,rollout_path,cutting_error_volume,part_remaining_rate,part_occupancy_rate,num_steps,step_cutting_error_volumes,step_part_remaining_rates,step_part_occupancy_rates,execution_error_enabled,execution_error_mode,execution_error_seed,cases_name,num_episodes_config,task_step_config,epoch,infer_model,control_mode,num_steps_with_shift,mean_abs_sampled_shift,mean_abs_applied_shift,max_abs_sampled_shift,max_abs_applied_shift
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,4,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_5/episode_4/rollout_data.pickle,0.0,100.0,37.49999960937501,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,5,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_5/episode_5/rollout_data.pickle,0.0,100.0,37.49999960937501,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501, 37.49999960937501]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_6/episode_0/rollout_data.pickle,0.0,100.0,23.99999988,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.7045454539401472, 3.03030302838996, 5.555555549125515, 9.999999979166667, 10.666666642962962, 17.777777711934156, 21.33333323851852, 23.99999988]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_6/episode_1/rollout_data.pickle,0.0,100.0,31.999999786666667,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[23.99999988, 23.99999988, 27.428571271836738, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,2,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_6/episode_2/rollout_data.pickle,0.0,100.0,31.999999786666667,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,3,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_6/episode_3/rollout_data.pickle,0.0,100.0,31.999999786666667,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,4,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_6/episode_4/rollout_data.pickle,0.0,100.0,31.999999786666667,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p0_delta_0,0.0,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_6,5,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p0_D0_E100000/epsilon_greedy_00/Object_6/episode_5/rollout_data.pickle,0.0,100.0,31.999999786666667,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667, 31.999999786666667]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_4/episode_0/rollout_data.pickle,0.0,100.0,29.999999625000008,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[0.8522727269700736, 1.7045454533348399, 3.0303030264768904, 6.666666648148148, 14.99999990625, 23.999999760000005, 23.999999760000005, 29.999999625000008]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_4/episode_1/rollout_data.pickle,0.0,100.0,29.999999625000008,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,2,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_4/episode_2/rollout_data.pickle,0.0,100.0,29.999999625000008,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,3,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_4/episode_3/rollout_data.pickle,0.0,100.0,29.999999625000008,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,4,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_4/episode_4/rollout_data.pickle,0.0,100.0,29.999999625000008,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_4,5,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_4/episode_5/rollout_data.pickle,0.0,100.0,29.999999625000008,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008, 29.999999625000008]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_5/episode_0/rollout_data.pickle,0.0,100.0,44.99999943750001,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.2784090904551104, 2.9220779197061053, 5.1948051873090835, 11.42857139229025, 25.714285530612248, 35.99999964, 35.99999964, 44.99999943750001]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,1,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_5/episode_1/rollout_data.pickle,0.0,100.0,44.99999943750001,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,2,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_5/episode_2/rollout_data.pickle,0.0,100.0,44.99999943750001,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,3,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_5/episode_3/rollout_data.pickle,0.0,100.0,44.99999943750001,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
eta_0p5_delta_0,0.5,0,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/condition_metadata.yaml,Object_5,4,/home/dev/workspace/dataset/nedo_dismantling_log/eval/unet_D64_T1000_S20_simple_20260504_204421/simple_A_T8_N6_eta0p5_D0_E100000/epsilon_greedy_00/Object_5/episode_4/rollout_data.pickle,0.0,100.0,44.99999943750001,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001, 44.99999943750001]",True,boundary_uniform,0,simple_A,6,8,100000,conditional_diffusion,epsilon_greedy_00,0,0.0,0.0,0.0,0.0
